OUR LADY OF FATIMA UNIVERSITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INVENTORY OF REAGENTS/APPARATUS FOR S.Y. 2024-2025 1st SEMESTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLLEGE OF PHARMACY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMICALS (LIQUID REAGENTS),BALANCE as of September 2018,UOM,ACQUISITION as of 2nd Sem 18-19,INVENTORY 2018-2019 2nd SEM,CONSUMPTION AS OF 2nd SEM 18-19,BALANCE AS of March 2019,UOM,ACQUISITION as of 1st Sem 19-20,INVENTORY 2019-2020 1st SEM,CONSUMPTION AS OF 1st SEM 19-20,BALANCE AS of September 2019,UOM,BALANCE AS of June 2022,UOM,ACQUISITION as of 1st Sem 22-23,UOM,Date of Acquisition as of 1st Sem 22-23,Ref. No. (OR/DR),CONSUMPTION AS OF 1st SEM 22-23,BALANCE AS of January 2023,UOM,Request for 2nd 22-23,ACQUISITION as of 2nd Sem 22-23,UOM,Date of Acquisition as of 2nd Sem 22-23,Ref. No. (OR/DR/SI),CONSUMPTION AS OF 2nd SEM 22-23,BALANCE AS of July 2023,UOM,Remarks,Request for 1st sem 23-24,UOM,ACQUISITION as of 1st Sem 23-24,UOM,Date of Acquisition as of 1st Sem 23-24,Ref. No. (OR/DR/SI),CONSUMPTION AS OF 1st sem 23-24,BALANCE AS of January 2024,UOM,Request for 2nd SEM 23-24,ACQUISITION as of 2nd SEM 23- 24,UOM,Date of Acquisition as of 2nd SEM 23-24,Ref. No. (OR/DR),CONSUMPTION as of 2nd SEM 23-24,BALANCE AS OF JUNE 2024,UOM,Request for 1st  SEM 24-25,ACQUISITION as of 1ST SEM 24- 25,UOM,Date of Acquisition as of  1ST SEM 24-25,Ref. No. (OR/DR),CONSUMPTION as of 1st SEM 24-25,BALANCE AS OF January  2025,UOM,Request for 2nd SEM 24-25,UOM 
Iodine crystals,3000,g,0,3000,500,2500,g,0,2500,100,2400,g,2000,g,,,,,2000,0,g,1000,500,g,3/23/23,1082,200,300,g,undelivered,500,g,0,g,,,100,200,,,,,,,,,,,,,,,,,,,
Iodine monochloride,,,,,,0,g,0,0,0,0,g,0,g,,,,,0,0,g,500,0,g,,,0,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Iodine Prills,,,,,,,,,,,,,,,,,,,,,g,0,,,,,0,700,g,,0,g,0,g,,,50,650,,,,,,,,,,,,,,,,,,,
Iron Oxide,,,,,,,,,,,,,,,,,,,,,g,0,,,,,0,1000,g,,0,g,0,g,,,100,900,,,,,,,,,,,,,,,,,,,
Iron sulfide,60,g,0,60,0,60,g,0,60,60,0,g,0,g,,,,,0,0,g,250,0,g,,,0,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Kaolin,700,g,0,700,0,700,g,0,700,700,0,g,0,g,,,,,0,0,g,250,1000,g,3/23/23,1082,100,900,g,,0,g,0,g,,,100,800,,,,,,,,,,,,,,,,,,,
Lactophenol,,,,,,,,,,,,,100,g,,,,,0,100,g,0,,,,,0,100,g,,0,g,0,g,,,0,100,,,,,,,,,,,,,,,,,,,
Lactose,1500,g,0,1500,0,1500,g,0,1500,500,1000,g,100,g,500,g,2-Sep,SI 377,600,0,g,250,1000,g,3/23/23,1082,250,750,g,,0,g,0,g,,,350,400,,,,,,,,,,,,,,,,,,,
Lactose broth,1000,g,0,1000,0,1000,g,0,1000,1000,0,g,0,g,500,g,2-Sep,SI 374,250,250,g,0,,,,,0,250,g,,0,g,0,g,,,0,250,,,,,,,,,,,,,,,,,,,
Lactose Monohydrate,,,,,,,,,,,,,,,,,,,,,g,0,,,,,0,500,g,,0,g,0,g,,,100,400,,,,,,,,,,,,,,,,,,,
Lanolin,2500,g,0,2500,500,2000,g,0,2000,1000,1000,g,300,g,,,,,300,0,g,1000,1000,g,3/23/23,1082,1000,0,g,,0,g,0,g,,,0,1500,,,,,,,,,,,,,,,,,,,
Lead acetate,1500,g,0,1500,0,1500,g,0,1500,600,900,g,1000,g,,,,,1000,0,g,2000,0,g,,,0,0,g,undelivered,1000,g,0,g,,,0,140,,,,,,,,,,,,,,,,,,,
"Lead acetate, trihydrate",,,,,,,,,,,,,400,g,,,,,400,0,g,0,,,,,0,0,g,undelivered,500,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Lead nitrate,0,g,0,0,0,0,g,0,0,0,0,g,0,g,,,,,0,0,g,0,,,,,0,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
"Agar, LIA",500,g,0,500,0,500,g,0,500,500,0,g,0,g,,,,,0,0,g,0,,,,,0,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Lithium carbonate,300,g,0,300,0,300,g,0,300,0,300,g,300,g,,,,,0,300,g,0,,,,,50,250,g,,0,g,0,g,,,50,200,,,,,,,,,,,,,,,,,,,
"Agar, MacConkey",1500,g,0,1500,600,900,g,0,900,50,850,g,1000,g,,,,,0,1000,g,0,,,,,0,1000,g,,0,g,0,g,,,0,1000,,,,,,,,,,,,,,,,,,,
CHEMICALS,BALANCE as of September 2018,UOM,ACQUISITION as of 2nd Sem 18-19,INVENTORY 2018-2019 2nd SEM,CONSUMPTION AS OF 2nd SEM 18-19,BALANCE AS of March 2019,UOM,ACQUISITION as of 1st Sem 19-20,INVENTORY 2019-2020 1st SEM,CONSUMPTION AS OF 1st SEM 19-20,BALANCE AS of September 2019,UOM,BALANCE AS of June 2022,UOM,ACQUISITION as of 1st Sem 22-23,UOM,Date of Acquisition as of 1st Sem 22-23,Ref. No. (OR/DR),CONSUMPTION AS OF 1st SEM 22-23,BALANCE AS of January 2023,UOM,Request for 2s 22-23,ACQUISITION as of 2nd Sem 22-23,UOM,Date of Acquisition as of 2nd Sem 22-23,Ref. No. (OR/DR),CONSUMPTION AS OF 2nd SEM 22-23,BALANCE AS of July  2023,UOM,Remarks,Request for 1st sem 23-24,UOM,ACQUISITION as of 1st Sem 23-24,UOM,Date of Acquisition as of 1st Sem 23-24,Ref. No. (OR/DR/SI),CONSUMPTION AS OF 1st sem 23-24,BALANCE AS of January 2024,,,,,,,,,,,,,,,,,,,
"Agar, Manitol salt",1000,g,0,1000,200,800,g,0,800,800,0,g,700,g,,,,,0,700,g,0,,,,,200,500,g,,0,g,0,g,,,0,500,,,,,,,,,,,,,,,,,,,
Magnesium carbonate (heavy),2000,g,0,2000,,2000,g,0,2000,0,2000,g,1900,g,,,,,0,1900,g,0,,,,,1000,900,g,,0,g,0,g,,,100,800,,,,,,,,,,,,,,,,,,,
Magnesium carbonate (light),2000,g,0,2000,0,2000,g,0,2000,1000,1000,g,300,g,,,,,0,300,g,0,,,,,100,200,g,,0,g,0,g,,,0,200,,,,,,,,,,,,,,,,,,,
Magnesium chloride,0,g,0,0,0,0,g,250,250,0,250,g,550,g,,,,,50,500,g,0,,,,,150,350,g,,0,g,0,g,,,50,300,,,,,,,,,,,,,,,,,,,
Magnesium hydroxide,1000,g,0,1000,0,1000,g,0,1000,0,1000,g,700,g,,,,,0,700,g,0,,,,,200,500,g,,0,g,0,g,,,100,400,,,,,,,,,,,,,,,,,,,
Magnesium oxide,1000,g,0,1000,0,1000,g,0,1000,0,1000,g,1000,g,,,,,200,800,g,0,,,,,0,800,g,,0,g,0,g,,,100,700,,,,,,,,,,,,,,,,,,,
Magnesium stearate,1000,g,0,1000,0,1000,g,0,1000,0,1000,g,150,g,,,,,150,0,g,500,500,g,3/23/23,1082,150,350,g,,0,g,0,g,,,50,300,,,,,,,,,,,,,,,,,,,
Magnesium sulfate,2500,g,0,2500,200,2300,g,0,2300,300,2000,g,1300,g,,,,,0,1300,g,0,,,,,400,900,g,,0,g,0,g,,,50,850,,,,,,,,,,,,,,,,,,,
Magnesium turnings,0,g,0,0,0,0,g,0,0,0,0,g,0,g,,,,,0,0,g,100,25,g,3/23/23,1082,0,25,g,,0,g,0,g,,,5,20,,,,,,,,,,,,,,,,,,,
Magnesium trisilicate,20,g,0,20,20,0,g,0,0,0,0,g,250,g,,,,,250,0,g,500,0,g,,,0,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Manganese dioxide,600,g,0,600,100,500,g,0,500,250,250,g,250,g,,,,,0,250,g,0,,,,,0,250,g,,0,g,0,g,,,0,250,,,,,,,,,,,,,,,,,,,
Manganese trioxide,0,g,0,0,0,0,g,0,0,0,0,g,0,g,,,,,0,0,g,0,,,,,0,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Manganese nitrate,0,g,0,0,0,0,g,0,0,0,0,g,0,g,,,,,0,0,g,0,,,,,0,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Menthol crystal,1700,g,0,1700,200,1500,g,0,1500,500,1000,g,450,g,,,,,450,0,g,250,250,g,03/23/23,1082,0,250,g,,0,g,0,g,,,100,150,,,,,,,,,,,,,,,,,,,
Mercury (II) chloride,21,g,0,21,0,21,g,200,221,71,150,g,150,g,,,,,50,100,g,0,,,,,55,45,g,,0,g,0,g,,,0,45,,,,,,,,,,,,,,,,,,,
Mercury (I) chloride,,,,,,,,,,,,,30,g,,,,,30,0,g,0,,,,,0,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Mercuric iodide,120,g,0,120,20,100,g,0,100,0,100,g,50,g,,,,,0,50,g,0,,,,,10,40,g,,0,g,0,g,,,0,40,,,,,,,,,,,,,,,,,,,
Mercuric oxide,100,g,0,100,30,70,g,0,70,70,0,g,0,g,,,,,0,0,g,0,,,,,0,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Mercurous nitrate,0,g,0,0,0,0,g,0,0,0,0,g,0,g,,,,,0,0,g,0,,,,,0,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Mercury metal,0,g,0,0,0,0,g,0,0,0,0,g,0,g,,,,,0,0,g,0,,,,,0,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Methyl cellulose,,,,,,,,,,,,,250,g,,,,,0,250,g,0,,,,,150,100,g,,0,g,0,g,,,20,80,,,,,,,,,,,,,,,,,,,
Methyl red,0,g,200,200,110,90,g,,90,0,90,g,50,g,,,,,0,50,g,0,,,,,5,45,g,,0,g,0,g,,,5,40,,,,,,,,,,,,,,,,,,,
Methyl orange,450,g,0,450,0,450,g,0,450,275,175,g,125,g,,,,,0,125,g,0,,,,,90,35,g,,0,g,0,g,,,0,35,,,,,,,,,,,,,,,,,,,
Methyl paraben,600,g,0,600,0,600,g,0,600,100,500,g,500,g,,,,,0,500,g,0,,,,,50,450,g,,0,g,0,g,,,50,400,,,,,,,,,,,,,,,,,,,
Methylene blue,800,g,0,800,0,800,g,0,800,300,500,g,250,g,,,,,0,250,g,0,,,,,50,200,g,,0,g,0,g,,,50,150,,,,,,,,,,,,,,,,,,,
Mica powder,,,,,,0,g,0,0,0,0,g,0,g,,,,,0,0,g,1000,0,g,,,0,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
"Agar, Mueller hinton",1000,g,0,1000,300,700,g,0,700,50,650,g,700,g,,,,,700,0,g,500,1000,g,03/23/23 - 4/3/23,1082 / 2172,500,500,g,,0,g,0,g,,,100,400,,,,,,,,,,,,,,,,,,,
Napthalene,800,g,0,800,0,800,g,0,800,50,750,g,400,g,,,,,0,400,g,0,,,,,150,250,g,,0,g,0,g,,,0,250,,,,,,,,,,,,,,,,,,,
"Agar, Nutrient",1900,g,500,2400,400,2000,g,500,2500,800,1700,g,550,g,500,g,2-Sep,SI 374,500,550,g,0,,,,,150,400,g,,0,g,0,g,,,300,100,,,,,,,,,,,,,,,,,,,
Nutrient broth,800,g,0,800,800,0,g,1000,1000,100,900,g,950,g,,,,,0,950,g,0,,,,,0,950,g,,0,g,0,g,,,150,800,,,,,,,,,,,,,,,,,,,
Nickel sulfate,700,g,0,700,0,700,g,0,700,500,200,g,125,g,,,,,0,125,g,0,,,,,0,125,g,,0,g,0,g,,,0,125,,,,,,,,,,,,,,,,,,,
Oxalic acid,800,g,1000,1800,300,1500,g,1000,2500,700,1800,g,1500,g,,,,,500,1000,g,0,,,,,350,650,g,,0,g,0,g,,,150,500,,,,,,,,,,,,,,,,,,,
CHEMICALS,BALANCE as of September 2018,UOM,ACQUISITION as of 2nd Sem 18-19,INVENTORY 2018-2019 2nd SEM,CONSUMPTION AS OF 2nd SEM 18-19,BALANCE AS of March 2019,UOM,ACQUISITION as of 1st Sem 19-20,INVENTORY 2019-2020 1st SEM,CONSUMPTION AS OF 1st SEM 19-20,BALANCE AS of September 2019,UOM,BALANCE AS of June 2022,UOM,ACQUISITION as of 1st Sem 22-23,UOM,Date of Acquisition as of 1st Sem 22-23,Ref. No. (OR/DR),CONSUMPTION AS OF 1st SEM 22-23,BALANCE AS of January 2023,UOM,Request for 2s 22-23,ACQUISITION as of 2nd Sem 22-23,UOM,Date of Acquisition as of 2nd Sem 22-23,Ref. No. (OR/DR),CONSUMPTION AS OF 2nd SEM 22-23,BALANCE AS of July 2023,UOM,Remarks,Request for 1st sem 23-24,UOM,ACQUISITION as of 1st Sem 23-24,UOM,Date of Acquisition as of 1st Sem 23-24,Ref. No. (OR/DR/SI),CONSUMPTION AS OF 1st sem 23-24,BALANCE AS of January 2024,,,,,,,,,,,,,,,,,,,
Palm Kernel Flakes,,,,,,0,g,0,0,0,0,g,0,g,,,,,0,0,g,500,0,g,,,0,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Paraffin wax,1000,g,0,1000,0,1000,g,0,1000,0,1000,g,,g,,,,,0,0,g,0,,,,,0,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Petroleum Jelly,,,,,,,,,,,,,,,,,,,,,g,0,,,,,300,200,g,,0,g,0,g,,,100,100,,,,,,,,,,,,,,,,,,,
Phenacetin,600,g,0,600,0,600,g,0,600,450,150,g,200,g,,,,,0,200,g,0,,,,,50,150,g,,0,g,0,g,,,0,150,,,,,,,,,,,,,,,,,,,
Phenanthroline monohydrate,0,g,0,0,0,0,g,0,0,0,0,g,0,g,,,,,0,0,g,0,,,,,0,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Phenolpthalein,2100,g,0,2100,0,2100,g,0,2100,1600,500,g,500,g,,,,,0,500,g,0,,,,,0,500,g,,0,g,0,g,,,100,400,,,,,,,,,,,,,,,,,,,
Phenylalanine powder,,,,,,0,g,0,0,0,0,g,0,g,,,,,0,0,g,500,0,g,,,0,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Phenylhydrazine HCL,1000,g,0,1000,500,500,g,0,500,30,470,g,190,g,,,,,0,190,g,0,,,,,90,100,g,,0,g,0,g,,,0,100,,,,,,,,,,,,,,,,,,,
Phosphomolybdic acid,25,g,0,25,0,25,g,0,25,25,0,g,0,g,,,,,0,0,g,250,0,g,,,0,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Phloroglucinol,500,g,0,500,0,500,g,0,500,20,480,g,170,g,,,,,0,170,g,0,,,,,70,100,g,,0,g,0,g,,,20,80,,,,,,,,,,,,,,,,,,,
Potassium acetate,0,g,0,0,0,0,g,1000,1000,50,950,g,1000,g,,,,,0,1000,g,0,,,,,150,850,g,,0,g,0,g,,,50,800,,,,,,,,,,,,,,,,,,,
Potassium antimony tartrate,0,g,0,0,0,0,g,100,100,0,100,g,0,g,,,,,0,0,g,0,,,,,0,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Potassium bicarbonate,2500,g,0,2500,0,2500,g,0,2500,100,2400,g,600,g,,,,,400,200,g,0,,,,,100,100,g,,1000,g,500,g,10/9/2023,DR: 2724,500,100,,,,,,,,,,,,,,,,,,,
Potassium bipthalate,650,g,500,1150,150,1000,g,0,1000,500,500,g,0,g,,,,,0,0,g,0,,,,,0,0,g,,500,g,500,g,10/9/2023,DR: 2722,100,400,,,,,,,,,,,,,,,,,,,
Potassium bitartrate,500,g,0,500,250,250,g,0,250,250,0,g,150,g,,,,,150,0,g,0,,,,,0,0,g,undelivered,500,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Potassium bromate,400,g,0,400,0,400,g,0,400,150,250,g,250,g,,,,,0,250,g,0,,,,,100,150,g,,0,g,0,g,,,50,100,,,,,,,,,,,,,,,,,,,
Potassium chlorate,200,g,500,700,500,200,g,250,450,300,150,g,300,g,,,,,50,250,g,0,,,,,0,250,g,,0,g,0,g,,,0,250,,,,,,,,,,,,,,,,,,,
Potassium chloride,1750,g,0,1750,0,1750,g,0,1750,0,1750,g,1800,g,,,,,0,1800,g,0,,,,,1000,800,g,,1000,g,1000,g,8/30/2023,DR: 2486,1200,600,,,,,,,,,,,,,,,,,,,
Potassium chromate,800,g,0,800,100,700,g,0,700,0,700,g,650,g,,,,,350,300,g,0,,,,,0,300,g,undelivered,500,g,0,g,,,50,250,,,,,,,,,,,,,,,,,,,
Potassium cyanide,0,g,0,0,0,0,g,0,0,0,0,g,0,g,,,,,0,0,g,0,,,,,0,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Potassium dichromate,1500,g,0,1500,0,1500,g,0,1500,200,1300,g,1050,g,,,,,0,1050,g,0,,,,,250,800,g,,0,g,0,g,,,100,700,,,,,,,,,,,,,,,,,,,
Potassium ferricyanide,400,g,0,400,0,400,g,0,400,0,400,g,385,g,,,,,385,0,g,500,0,g,,,0,0,g,undelivered,500,g,0,g,,,0,500,,,,,,,,,,,,,,,,,,,
Potassium ferrocyanide,500,g,0,500,0,500,g,0,500,500,0,g,0,g,,,,,0,0,g,0,,,,,0,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Potassium hydrogen Carbonate,,,,,,,,,,,,,,,,,,,,,g,0,,,,,50,450,g,,0,g,0,g,,,50,400,,,,,,,,,,,,,,,,,,,
Potassium hydroxide,9000,g,0,9000,0,9000,g,0,9000,4000,5000,g,3800,g,,,,,0,3800,g,0,,,,,2600,1200,g,,0,g,0,g,,,200,1000,,,,,,,,,,,,,,,,,,,
Picric acid,400,g,0,400,0,400,g,0,400,0,400,g,20,g,,,,,20,0,g,500,0,g,,,0,0,g,,0,g,0,g,,,0,500,,,,,,,,,,,,,,,,,,,
Potassium iodide,1500,g,500,2000,1100,900,g,500,1400,350,1150,g,0,g,,,,,0,0,g,2000,2000,g,3/23/23,1082,300,1700,g,,0,g,0,g,,,200,1500,,,,,,,,,,,,,,,,,,,
Potassium nitrate,500,g,0,500,50,450,g,200,650,250,400,g,250,g,,,,,0,250,g,0,,,,,50,200,g,,0,g,0,g,,,50,150,,,,,,,,,,,,,,,,,,,
Potassium nitrite,0,g,0,0,0,0,g,0,0,0,0,g,0,g,,,,,0,0,g,0,,,,,0,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Potassium oxalate,0,g,0,0,0,0,g,500,500,0,500,g,500,g,,,,,0,500,g,0,,,,,0,500,g,,0,g,0,g,,,400,100,,,,,,,,,,,,,,,,,,,
Potassium Oxalate Monohydrate,,,,,,,,,,,,,,,,,,,,,g,0,,,,,0,500,g,,0,g,0,g,,,0,500,,,,,,,,,,,,,,,,,,,
Potassium perchlorate,0,g,0,0,0,0,g,0,0,0,0,g,0,g,,,,,0,0,g,0,,,,,0,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Potassium permanganate,100,g,250,350,100,250,g,250,500,500,0,g,225,g,,,,,0,225,g,0,,,,,225,0,g,undelivered,500,g,0,g,,,0,400,,,,,,,,,,,,,,,,,,,
Potassium phosphate,,,,,,,,,,,,,,,,,,,,,g,0,,,,,0,15,g,,0,g,0,g,,,0,15,,,,,,,,,,,,,,,,,,,
"Potassium phosphate, Di-basic",,,,,,,,,,,,,,,,,,,,,g,0,,,,,200,300,g,undelivered,500,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Potassium phosphate monobasic,0,g,0,0,0,0,g,0,0,0,0,g,20,g,,,,,0,20,g,0,,,,,20,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Potassium pyroantimonate,20,g,0,20,20,0,g,0,0,0,0,g,125,g,,,,,0,125,g,0,,,,,25,100,g,,0,g,0,g,,,5,120,,,,,,,,,,,,,,,,,,,
Potassium tartrate monobasic,,,,,,,,,,,,,50,g,,,,,0,50,g,0,,,,,50,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
CHEMICALS,BALANCE as of September 2018,UOM,ACQUISITION as of 2nd Sem 18-19,INVENTORY 2018-2019 2nd SEM,CONSUMPTION AS OF 2nd SEM 18-19,BALANCE AS of March 2019,UOM,ACQUISITION as of 1st Sem 19-20,INVENTORY 2019-2020 1st SEM,CONSUMPTION AS OF 1st SEM 19-20,BALANCE AS of September 2019,UOM,BALANCE AS of June 2022,UOM,ACQUISITION as of 1st Sem 22-23,UOM,Date of Acquisition as of 1st Sem 22-23,Ref. No. (OR/DR),CONSUMPTION AS OF 1st SEM 22-23,BALANCE AS of January 2023,UOM,Request for 2s 22-23,ACQUISITION as of 2nd Sem 22-23,UOM,Date of Acquisition as of 2nd Sem 22-23,Ref. No. (OR/DR),CONSUMPTION AS OF 2nd SEM 22-23,BALANCE AS of  July 2023,UOM,Remarks,Request for 1st sem 23-24,UOM,ACQUISITION as of 1st Sem 23-24,UOM,Date of Acquisition as of 1st Sem 23-24,Ref. No. (OR/DR/SI),CONSUMPTION AS OF 1st sem 23-24,BALANCE AS of January 2024,,,,,,,,,,,,,,,,,,,
Potassium sodium tartrate,500,g,0,500,0,500,g,0,500,50,450,g,100,g,,,,,0,100,g,0,,,,,50,50,g,,0,g,0,g,,,0,50,,,,,,,,,,,,,,,,,,,
Potassium thiocyanate,0,g,0,0,0,0,g,250,250,0,100,g,350,g,,,,,100,250,g,0,,,,,0,250,g,,0,g,0,g,,,150,100,,,,,,,,,,,,,,,,,,,
Potassium sulfate,150,g,0,150,150,0,g,0,0,0,0,g,200,g,,,,,0,200,g,0,,,,,200,0,g,,0,g,0,g,,,0,200,,,,,,,,,,,,,,,,,,,
Precipitated sulfur,30,g,0,30,0,30,g,0,30,0,30,g,125,g,,,,,125,0,g,250,0,g,,,0,0,g,undelivered,1000,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Propyl Paraben,300,g,0,300,300,0,g,0,0,0,0,g,250,g,,,,,0,250,g,0,,,,,50,200,g,,0,g,0,g,,,0,200,,,,,,,,,,,,,,,,,,,
P-rosaniline,0,g,0,0,0,0,g,0,0,0,0,g,0,g,,,,,0,0,g,0,,,,,0,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Quinine Sulfate,30,g,0,30,30,0,g,0,0,0,0,g,0,g,,,,,0,0,g,250,0,g,,,0,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Quinhydrone,,,,,,0,g,0,0,0,0,g,0,g,,,,,0,0,g,100,0,g,,,0,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Red iron oxide,3000,g,0,3000,0,3000,g,0,3000,1750,1250,g,1250,g,,,,,950,300,g,0,,,,,0,300,g,,0,g,0,g,,,0,300,,,,,,,,,,,,,,,,,,,
Resorcinol,400,g,0,400,50,350,g,0,350,50,300,g,250,g,,,,,0,250,g,0,,,,,100,150,g,,0,g,0,g,,,50,100,,,,,,,,,,,,,,,,,,,
Ribose,,,,,,0,g,0,0,0,0,g,0,g,,,,,0,0,g,500,0,g,,,0,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Rhodamine B,150,g,0,150,0,150,g,0,150,100,50,g,25,g,,,,,0,25,g,0,,,,,0,25,g,,0,g,0,g,,,0,25,,,,,,,,,,,,,,,,,,,
Saccharin,0,g,0,0,0,900,g,0,900,0,900,g,2800,g,,,,,800,2000,g,0,,,,,1200,800,g,,0,g,0,g,,,200,600,,,,,,,,,,,,,,,,,,,
Salicylic acid,900,g,0,900,0,900,g,0,900,10,890,g,550,g,,,,,550,0,g,1000,1000,g,3/23/23,1082,400,600,g,,0,g,0,g,,,300,300,,,,,,,,,,,,,,,,,,,
"Silica gel, blue",4000,g,0,4000,400,3600,g,0,3600,0,3600,g,500,g,,,,,0,500,g,0,,,,,300,200,g,,0,g,0,g,,,0,200,,,,,,,,,,,,,,,,,,,
Silica gel S-10,,,,,,0,g,0,0,0,0,g,950,g,,,,,0,950,g,0,500,g,05/08/23,1197,250,1200,g,,0,g,0,g,,,200,1000,,,,,,,,,,,,,,,,,,,
Silica gel G-20,,,,,,0,g,0,0,0,0,g,300,g,,,,,300,0,g,500,0,g,,,0,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Silica powder,,,,,,0,g,0,0,0,0,g,500,g,,,,,0,500,g,0,,,,,250,250,g,undelivered,500,g,0,g,,,250,0,,,,,,,,,,,,,,,,,,,
Silver acetate,25,g,5,30,25,5,g,25,30,5,25,g,18,g,,,,,0,18,g,0,,,,,8,10,g,,0,g,0,g,,,10,25,,,,,,,,,,,,,,,,,,,
Silver chloride,100,g,100,200,150,50,g,100,150,120,30,g,10,g,,,,,0,10,g,0,,,,,10,0,g,undelivered,500,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Silver nitrate,100,g,200,300,300,0,g,200,200,100,100,g,75,g,,,,,75,0,g,100,0,g,,,0,0,g,,250,g,250,g,9/20/2023,DR: 2645,0,250,,,,,,,,,,,,,,,,,,,
" Agar, SIM",2400,g,0,2400,400,2000,g,0,2000,0,2000,g,1000,g,,,,,0,1000,g,0,,,,,0,1000,g,,0,g,0,g,,,0,1000,,,,,,,,,,,,,,,,,,,
Simmon citrate agar,2500,g,0,2500,1000,1500,g,0,1500,0,1500,g,1000,g,,,,,0,1000,g,0,,,,,150,850,g,,0,g,0,g,,,150,700,,,,,,,,,,,,,,,,,,,
Sodium acetate,3200,g,0,3200,100,3100,g,0,3100,100,3000,g,700,g,,,,,0,700,g,0,,,,,100,600,g,,0,g,0,g,,,150,450,,,,,,,,,,,,,,,,,,,
"Sodium acetate, trihydrate",,,,,,,,,,,,,700,g,,,,,200,500,g,0,,,,,400,100,g,,0,g,0,g,,,0,100,,,,,,,,,,,,,,,,,,,
Sodium arsenate,30,g,0,30,0,30,g,0,30,30,0,g,0,g,,,,,0,0,g,0,,,,,0,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Sodium arsenite,250,g,0,250,0,250,g,0,250,140,110,g,125,g,,,,,0,125,g,0,,,,,25,100,g,,0,g,0,g,,,0,100,,,,,,,,,,,,,,,,,,,
Sodium benzoate,0,g,0,0,0,0,g,0,0,0,0,g,0,g,,,,,0,0,g,0,,,,,0,0,g,,0,g,0,g,,,0,0,,,,,,,,,,,,,,,,,,,
Sodium bicarbonate,2000,g,0,2000,500,1500,g,0,2000,1300,700,g,400,g,500,g,2-Sep,SI 374,900,0,g,2000,2000,g,3/23/23,1083,500,1500,g,,1000,g,1000,g,8/30/2023,DR: 2486,200,1300,,,,,,,,,,,,,,,,,,,
Sodium bismuthate,130,g,0,130,0,130,g,0,130,0,130,g,180,g,,,,,0,180,g,0,,,,,80,100,g,,0,g,0,g,,,0,100,,,,,,,,,,,,,,,,,,,
"Sodium bisulfite, AR",,,,,,,,,,,,,200,g,,,,,100,100,g,0,,,,,0,100,g,undelivered,500,g,0,g,,,0,100,,,,,,,,,,,,,,,,,,,
